UPS Ground Residential,lbs,2,3,4,5,6,7,8,44,45,46
Pkg Per Pkg,1,13.52,13.52,13.52,13.52,13.52,13.52,13.52,33.67,34.04,43.45
Pkg Per Pkg,2,13.52,13.52,13.94,14.18,14.68,15.12,15.33,37.13,37.78,46.91
Pkg Per Pkg,3,13.52,13.52,14.32,14.9,15.4,15.81,16.45,40.11,42.65,49.77
Pkg Per Pkg,4,13.52,13.6,14.91,15.68,15.92,16.77,17.43,43.76,45.29,53.76
Pkg Per Pkg,5,13.52,13.98,15.08,16.13,16.67,17.42,18.44,47.2,48.91,57.0
Pkg Per Pkg,6,13.52,14.12,15.32,16.31,16.81,17.43,18.45,50.72,51.92,59.08
Pkg Per Pkg,7,13.62,14.38,15.65,16.75,17.07,17.82,19.04,53.96,55.69,61.95
Pkg Per Pkg,8,13.93,14.8,16.02,17.14,17.5,18.57,19.74,55.96,58.44,65.2
Pkg Per Pkg,9,14.0,14.86,16.03,17.15,17.81,19.08,20.48,59.7,62.28,68.92
Pkg Per Pkg,10,14.25,15.1,16.28,17.62,18.13,19.84,21.81,63.25,67.42,72.48
Pkg Per Pkg,11,14.08,14.55,15.67,16.84,17.5,20.1,21.73,62.48,66.9,71.17
Pkg Per Pkg,12,14.19,15.05,15.8,16.96,18.01,20.92,22.47,65.04,69.26,73.69
Pkg Per Pkg,13,14.23,15.09,15.85,17.12,18.49,21.95,23.42,67.62,71.69,76.23
Pkg Per Pkg,14,14.75,15.43,16.08,17.59,19.4,23.4,25.11,70.3,74.37,78.89
Pkg Per Pkg,15,14.76,15.61,16.27,17.99,20.32,23.89,26.14,72.79,77.6,81.34
Pkg Per Pkg,16,15.06,16.07,16.51,18.37,21.02,25.15,27.17,75.91,80.71,84.46
Pkg Per Pkg,17,15.15,16.35,16.66,18.81,21.64,26.12,27.31,79.03,84.45,87.04
Pkg Per Pkg,18,15.28,16.55,16.81,19.57,22.63,27.01,29.22,82.18,89.29,90.15
Pkg Per Pkg,19,15.58,17.17,17.48,20.31,23.14,27.47,30.51,85.32,92.07,93.27
Pkg Per Pkg,20,15.58,17.18,17.49,20.86,23.83,28.39,31.49,88.07,95.31,95.98
Pkg Per Pkg,21,16.12,17.74,18.27,21.21,24.64,29.28,32.37,90.03,99.55,97.94
Pkg Per Pkg,22,16.13,18.0,18.81,21.84,25.52,30.25,33.67,92.76,103.26,100.66
Pkg Per Pkg,23,16.14,18.18,19.14,22.05,26.38,30.91,34.89,95.47,106.93,103.36
Pkg Per Pkg,24,16.61,18.92,20.01,23.23,27.69,31.86,36.73,98.51,110.74,106.4
Pkg Per Pkg,25,16.65,18.97,20.08,23.48,28.22,33.46,37.77,101.47,114.51,109.38
Pkg Per Pkg,26,17.32,19.54,20.8,24.32,29.14,34.71,39.22,104.59,117.4,112.72
Pkg Per Pkg,27,17.73,19.93,21.16,24.68,30.21,35.3,39.82,107.42,121.18,115.62
Pkg Per Pkg,28,18.07,20.35,21.87,25.92,31.54,36.76,41.24,110.23,125.0,118.43
Pkg Per Pkg,29,18.09,20.68,22.16,25.96,32.36,37.53,42.27,112.87,128.02,120.78
Pkg Per Pkg,30,18.24,21.11,22.9,26.87,32.84,37.7,43.9,115.51,131.95,123.45
Pkg Per Pkg,31,17.88,20.29,21.99,25.6,31.51,36.59,42.39,108.0,126.35,115.46
Pkg Per Pkg,32,17.88,20.3,22.0,25.61,31.66,36.59,42.82,108.37,130.3,115.71
Pkg Per Pkg,33,17.94,20.56,22.86,26.68,33.32,37.71,43.91,110.58,133.63,117.96
Pkg Per Pkg,34,17.95,20.96,23.5,27.52,33.48,38.75,45.88,112.99,137.13,120.33
Pkg Per Pkg,35,18.23,21.78,24.02,27.92,34.0,39.67,46.18,115.72,140.74,123.05
Pkg Per Pkg,36,18.46,21.92,24.35,28.87,35.31,40.93,47.89,118.13,144.02,125.7
Pkg Per Pkg,37,18.81,22.17,24.68,29.25,35.46,42.16,48.33,120.78,147.6,128.4
Pkg Per Pkg,38,18.93,22.48,25.26,29.89,36.2,42.31,49.17,123.6,151.0,131.22
Pkg Per Pkg,39,19.6,23.24,26.21,30.78,37.53,43.87,50.13,126.2,154.45,133.61
Pkg Per Pkg,40,19.61,23.33,26.23,30.84,37.76,43.87,50.14,128.84,157.52,136.18
Pkg Per Pkg,41,19.99,24.2,26.9,31.79,39.18,45.14,52.17,131.02,160.85,138.63
Pkg Per Pkg,42,20.0,24.27,27.84,31.83,39.38,45.86,52.18,133.44,164.47,141.05
Pkg Per Pkg,43,20.32,24.59,27.88,33.36,41.37,47.42,53.52,136.1,167.6,143.71
Pkg Per Pkg,44,20.58,24.92,28.52,33.91,41.49,48.56,54.05,138.01,170.74,146.41
Pkg Per Pkg,45,20.59,24.93,28.52,33.92,41.6,49.71,54.4,140.61,173.28,149.04
Pkg Per Pkg,46,21.1,25.16,29.35,34.67,42.62,50.21,55.77,143.27,177.38,151.72
Pkg Per Pkg,47,21.12,25.66,29.78,34.9,43.19,51.13,56.63,145.96,180.7,154.38
